simplier0,simplier1,simplier2
" It may be difficult to measure attentional focus before starting a putt, but studies show that focus patterns are similar before, during, and after the stroke. Attentional shifts during the stroke can also affect behavior before and after the movement."," it's hard to measure where someone puts their focus when they're about to putt a golf ball. However, studies have found that people tend to focus in the same patterns before, during, and after the stroke. Also, where someone's attention shifts during the stroke can affect their behavior before and after making the movement."," It's difficult to track where someone looks when they're about to putt, but studies show that people tend to focus on the same spots before, during, and after the stroke. Their attention during the stroke can also affect how they behave before and after making the shot."
" The study showed that a person's attention affects how they perceive an object's size. The more attention an object gets, the bigger it seems. The study also found that changes in how a person moves when interacting with an object are related to changes in their attention and perception."," A study found that when we pay more attention to something, it appears bigger. How we move when interacting with objects can also affect our attention and perception."," When we focus on something, it seems larger, and our movements while interacting with objects can also impact our attention and perception."
" The theory of Signal Detection says that we use likelihood ratios to make decisions about what we remember. This theory helps explain some regular patterns we see in how people remember things, but sometimes bias can make it hard to see them. This study looked at how bias affects what we see and suggests four ways to deal with it. Ultimately, the study found that Signal Detection Theory helps explain how people remember things."," The way we remember things can be explained by Signal Detection Theory. This theory looks at how our biases affect what we remember and suggests four ways to deal with it. Ultimately, this study found that Signal Detection Theory helps explain memory patterns in people."," When we remember things, our biases can affect what we remember. Signal Detection Theory looks at this and gives four ways to deal with it. This theory helps explain memory patterns in people."
 The authors of a study showed that they could measure how well someone recognizes something by using a theory called Signal Detection Theory. They did this by looking at likelihood ratios and studying three different stages., The scientists found a way to test how well someone recognizes something using a theory called Signal Detection Theory. They looked at different stages and likelihood ratios to do this., The scientists figured out a way to see how well people know something using Signal Detection Theory. They used different stages and likelihood ratios to test this.
" The LR assumption always results in three patterns - the Mirror Effect, Variance Effect, and z-ROC Length Effect. These patterns happen because of how LR decisions are made. Many recognition memory studies have shown that these patterns happen all the time."," The LR assumption leads to three patterns - the Mirror Effect, Variance Effect, and z-ROC Length Effect. These patterns occur due to the way LR decisions are made, and they are frequently observed in recognition memory studies."," The LR assumption causes three patterns in recognition memory studies: the Mirror Effect, Variance Effect, and z-ROC Length Effect. These patterns occur because of the way LR decisions are made."
" The Mirror Effect can be wrong because of bias, so the researchers suggest four ways to fix it. They say to use a better way to measure the effect, cancel out the bias by paying people, use a different design, or make the experiment conditions more different."," The researchers suggest four ways to fix bias in measuring The Mirror Effect. These include using a better measurement method, paying people to cancel out bias, changing the experimental design, or making the conditions more different."," The Mirror Effect can be measured without bias by improving the way it is measured, eliminating bias with financial compensation, changing the experiment, or creating more distinct conditions."
" The survey in Glanzer et al. (2009) used group data, which some people think may not show what really happens with individuals. But this study found that the regularities are still true for individual performance."," The Glanzer et al. (2009) survey used group data, but still found that the regularities also apply to individual performance."," The Glanzer et al. study used information from groups, but still found that the patterns they observed also exist for individual performance."
" The recognition memory test is when people see a list of things to remember, then they see another list with some of the same things and some new ones. They have to say if each thing is old or new and how sure they are of their answer."," The recognition memory test involves showing people two lists, one with things to remember and the other with some repeated and some new things. They must decide if each thing is old or new and how confident they are in their answer."," The recognition memory test shows people two lists, one with things to remember and another with some things repeated and some new. They have to decide if each thing is old or new and how confident they are in their answer."
" Using different items or conditions in experiments can affect accuracy. There are three patterns that can result from LR decisions: the Mirror Effect, Variance Effect, and z-ROC Length Effect."," Using different things or situations in experiments can change how accurate the results are. When people make decisions about whether something is true or not, there are three ways they might do it. These are called the Mirror Effect, Variance Effect, and z-ROC Length Effect."," Different experiments can lead to different results. When people decide if something is true, they use the Mirror Effect, Variance Effect, or z-ROC Length Effect to help them."
" If there are two groups of things being tested, and one group is better at identifying what's old and what's new than the other group, then using LR will likely result in the better group making more correct identifications than the other group. This is particularly noticeable in a yes/no test where the number of correct identifications and incorrect identifications is similar."," If one group is better at telling old and new things apart than the other, the better group will likely do better using LR. This is especially true in a yes/no test where the number of right and wrong answers is close."," If one group is better at distinguishing between old and new things than another group, the better group will perform better using LR, especially in a yes/no test when there are almost equal numbers of right and wrong answers."
" The accuracy of tests can be affected by the items or conditions being used. When using likelihood ratios to make decisions, there is an effect on the relative variances of the new and old distributions, and the variance of the superior condition will be larger than the weaker condition. This can be measured by looking at the slope of the z-ROC of new and old item ratings, which will be less than 1.0 if using LR for decision-making."," The accuracy of tests can be affected by the items or conditions being used, and when using likelihood ratios to make decisions, it can be harder to tell the difference between stronger and weaker conditions. This can be measured by looking at the slope of the z-ROC of new and old item ratings, which may be less than 1.0 if using LR for decision-making."," Sometimes the tests aren't accurate because the things they test or the situation they're in could mess it up. If we use likelihood ratios to decide what to do, it might be hard to tell if the conditions are strong or weak. We can figure this out by looking at the slope of new and old item ratings. If we use LR for our decisions, the slope might be less than 1.0."
" The length of z-ROC contracts depends on how accurate LR decisions are. If the decisions are more precise, the z-ROC becomes shorter."," The length of z-ROC contracts depends on how precise LR decisions are. If the decisions are more accurate, the z-ROC is shorter."," The length of z-ROC contracts is based on how correct the LR decisions are. If they are very accurate, the z-ROC will be smaller."
" The log likelihood ratio is important because it simplifies equations. It is a random variable with its own distribution, mean, and variance, which is determined by the distribution of X and the function ¦Ë()."," The log likelihood ratio is significant because it streamlines equations. It has its distribution, mean, and variance, which relies on X's distribution and the ¦Ë() function."," The log likelihood ratio is helpful because it simplifies equations. It has its own distribution, average, and variation, which depend on the distribution of X and the ¦Ë() function."
" The authors used linear regression to estimate lines and slopes for their models, which was okay because the ROC curves were based on theoretical data and weren't affected by random errors."," The writers used math to come up with their models, and because they only used theoretical data, there wasn't much room for mistakes."," The writers used numbers to make their models, and they didn't have much room for mistakes since they only used ideas, not real life information."
" The article talks about a model that explains patterns using equations and displays. They found that even if the model uses different distributions, the patterns still work the same way. Switching from LR to log LR doesn't change this either."," The article explains that a model can show how things work using math and graphs, and they found that changing some parts of the model doesn't make the patterns turn out differently."," A model uses math and graphs to show how things work. When parts of the model are changed, the patterns still turn out the same."
" The variables SN, WN, WO, and SO are numbers that come from different sets of numbers, called distributions. Each set has an average or mean number as well as a measure of how spread out the numbers are called standard deviation. These numbers are used to make decisions by comparing the likelihood of certain outcomes."," Numbers called SN, WN, WO, and SO come from different sets of numbers that have an average and measure of spread. We use these numbers to make decisions by comparing the likelihood of certain outcomes."," There are different sets of numbers called SN, WN, WO, and SO that are used to make decisions. These numbers have an average and a way to measure how different they are from each other. We compare these numbers to figure out which outcomes are more likely."
" The model has theoretical predictions which are shown in Figures 2A and B. Figures 2C and D show the data from observations based on the model. In Figure 2A, there is a distribution of information for SN, WN, WO, and SO. SO is more precise than WO and is located to the right. SN and WN are not separated because unstudied items are assumed to not have different strengths. The new distributions are not separated, and the effects of the LR transformation are shown clearly. When SO moves above WO, SN moves in the opposite direction below WN on the LR decision axis."," The model makes predictions and compares them to observed data. There are graphs showing different levels of precision and strength for different items. When certain items move, it affects the decision axis.", The model guesses what will happen and then checks if it was right by looking at real data. Different things have different levels of accuracy and influence the decision.
" The likelihoods shown in Figure 2A are rearranged on a logarithmic scale in Figure 2B when making a decision using LR. Glanzer et al.'s research suggests that these likelihoods follow a normal distribution. Figure 2B, C, and D demonstrate three different regularities."," The probabilities in Figure 2A are shown on a logarithmic scale in Figure 2B when using LR. Glanzer et al. found that these probabilities follow a normal distribution. Figure 2B, C, and D show three different patterns."," The chances displayed in Figure 2A are graphed using a logarithmic scale in Figure 2B with LR. Glanzer et al. discovered that these probabilities conform to a normal distribution. Three different patterns are displayed in Figures 2B, C, and D."
" ""When using a log likelihood decision axis, the SN and WN distributions move apart from each other compared to their position in Fig. 2A. This causes the Mirror Effect to happen with the ordered distributions.""", The Mirror Effect occurs when SN and WN distributions move further apart from each other on a log likelihood decision axis than in Fig. 2A. This creates ordered distributions that reflect each other.," The Mirror Effect happens when the SN and WN distributions move farther apart on a decision axis than in Fig. 2A, resulting in ordered distributions that reflect each other."
" Glanzer and colleagues found a problem with the H/FA Mirror Index - it doesn't work accurately when there are biases. Even though it's flawed, we talk a lot about it in this paper because people use it often."," Glanzer and colleagues found a problem with the H/FA Mirror Index when there are biases. It's flawed, but people still use it a lot."," Glanzer and his team discovered a flaw in the H/FA Mirror Index due to biases, but it is still widely used."
" Recognition memory tests might not be fair if the person taking the test doesn't understand how often things from the past are likely to appear. By using a way of measuring how past experiences affect decision-making, it can be seen when people are too confident in certain options and make unfair choices. Wickens talked about this in 2002."," Recognition memory tests might not be fair if the person taking the test doesn't know how often things from the past usually show up. If someone is too sure about their choices, it can be unfair. Wickens talked about this in 2002."," Recognition memory tests may not be fair if the person taking them doesn't know how often things from the past usually appear. This can lead to unfairness if someone is too confident in their choices, which was discussed by Wickens in 2002."
" The second part shows how choosing right or wrong answers can have good or bad consequences. If being wrong is more expensive, people will be more careful and say ""Yes"" less often.", There are consequences for giving wrong answers so people will be more careful if being wrong is costly., The risk of being wrong will make people more cautious about their answers.
" The authors did five experiments that showed three regular patterns in how people learn and how bias affects it. They did one experiment about how often people see certain words, and the other four experiments were about how well people know certain names.", The writers did five tests that displayed three patterns in how people learn and how bias impacts it. They did one test on how often people see certain words and the other four were about how well people know certain names.," ""The writers ran five tests to study how people learn and how bias can affect it. They tested how often people see some words and how well people know some names."""
" The same patterns were found in all five tests, but the second one showed that the H/FA Index might not measure the Mirror Effect very well because of unfairness. Even so, the Distance Mirror Index still revealed the effect. To fix the problem with the H/FA Index, the third, fourth, and fifth tests used other ways."," The tests showed the same results, but the second test was not fair in measuring the Mirror Effect. However, the Distance Mirror Index still showed the effect. To solve this problem, other methods were used in the following tests."," The tests were alike, but the second one didn't measure the Mirror Effect fairly. But, the Distance Mirror Index did show the effect. To fix this, other ways were tried in next tests."
" The results are shown in four parts. Firstly, there is an overall view of the results, which can't be analyzed statistically. Secondly, the Mirror Effect is analyzed conventionally. Thirdly, there are three LR regularities based on ROCs for every individual. Lastly, there is a detailed analysis of each person's performance.", The results are broken into four parts. The first part shows an overall view and can't be analyzed. The second part analyzes the Mirror Effect conventionally. The third part looks at three LR regularities for each person. The final part has a detailed analysis of each person's performance., The results are divided into four sections. The first section shows an overview that cannot be analyzed. The second section analyzes the Mirror Effect in a normal way. The third section examines three LR patterns for each individual. The fourth section provides a detailed analysis of each person's performance.
 The authors are using simple data to show three patterns of how quickly people recognize words. They are comparing common words to uncommon words to see which is easier to recognize. They want to show this without any unfair influences., The authors are using easy information to see how fast people know words. They compare words that are common and not to see which is easier to know. They want to show this without any unfairness., The authors are testing how quickly people recognize words. They are comparing easy and hard words. They want to be fair in their research.
" The researchers asked college students to decide if words were real or not. Then, they tested their ability to recognize old words and new words and rate their confidence in recognizing them. More details can be found in the research document."," The researchers asked college students if words were real or not. Then, they tested if they knew old or new words and how sure they were in knowing them. More information can be found in their research document."," The study asked college students if words were real or fake, and then tested their knowledge of old and new words and how confident they were in their answers. More details about the research can be found in their report."
" The study results, shown in Figure 4A and B with z-ROCs, reveal patterns that were already predicted in a model (seen in Fig. 2C and D). The researchers analyzed the z-ROCs using different measures, like distances and slopes, to understand the Mirror Effect, Variance Effect, and z-ROC Length Effect. They used a statistical program for this analysis."," The study results (shown in Figure 4A and B) confirm what was predicted in a model (Fig.2C and D). They looked at the z-ROCs using different measures to understand the Mirror Effect, Variance Effect, and z-ROC Length Effect. They used a statistical program for this analysis.", The study's findings backed up the predictions made in a model. They analyzed the z-ROCs using different measures to understand certain effects. They used a statistical program for the analysis.
" The results of the statistical tests on the participants' answers are shown in three parts. First, the H/FA Index of the Mirror Effect is analyzed. Then, the three LR patterns are examined. Finally, the individual responses to the three LR patterns are looked at."," The findings of the tests on what the participants said are split into three sections. First, we look at the Mirror Effect H/FA Index. Then, we focus on the three LR patterns. Lastly, we check out how each person responded to the three LR patterns."," The test results are divided into three sections - Mirror Effect H/FA Index, three LR patterns, and how each person reacted to those patterns."
 The Mirror Effect is analyzed by comparing two situations and looking for a difference between them. It's important to measure hit and false alarm rates for each situation and there are certain bias measures that are listed in Table 3., The Mirror Effect is studied by comparing two situations and looking for a difference. It's important to measure hits and false alarms for each situation and there are certain biases listed in Table 3., The Mirror Effect is studied by comparing two situations and checking for differences. It's important to measure hits and false alarms for each situation and there are certain biases listed in Table 3.
" Regularities in the data of each person were looked at and compared in Table 5. All 16 people had negative results, which means that SN was less than WN. The regularities found were different from chance by a binomial test, which fully agrees with the analysis done in Table 4."," The data patterns of 16 people were compared and all of them had negative results, showing that SN was less than WN. The regularities found were not due to chance, confirmed by the binomial test and the analysis in Table 4."," The data from 16 people were analyzed and showed that SN was less than WN. This was not a coincidence, as confirmed by statistical tests."
 The authors did four studies that looked at the familiarity of names instead of how often they were used. They did this to show more evidence for what they had found before. They also wanted to test a different idea about why the Mirror Effect happens. These experiments all showed the same things as before and dealt with some problems that made it hard to see the Mirror Effect in other ways., The authors did four studies that looked at how well-known names are instead of how often they are used. This shows more evidence for what they found before and tests a different idea about why the Mirror Effect happens. The experiments all showed the same things as before and dealt with some problems that made it hard to see the Mirror Effect in other ways., The authors did more research to see if well-known names are more memorable than common ones. This supports their previous findings and explores a new theory about why the Mirror Effect occurs. The experiments all showed the same results as before and addressed some challenges that made it difficult to see the Mirror Effect using other methods.
 The participants were given two lists - one with famous names and another with names from a phonebook. The famous list was more familiar to the participants while the phonebook list was not. Some phonebook names were used as practice and filler items. The names on each list were randomly selected for each person.," The researchers gave the participants two lists - famous names and phonebook names. The famous names were more well-known, and the phonebook names were not. Some of the phonebook names were used for practice. The names on each list were picked at random for each person.", The researchers gave people two lists of names - one list had famous names that most people know and the other list had names from the phonebook that are not so well-known. They randomly picked names for each person to practice with.
" The study tested the participant's memory by showing them names in capital letters on the screen for 1.25 seconds with a blank screen for 0.75 seconds in between each name. They were then given a test with 120 ""F"" names and 120 ""U"" names, half of which they had seen before and half were new. The participant could take their time to respond to each name during the test."," The study tested memory by showing names on a screen for a short time, then asking participants to remember which ones they saw before.", The study tested memory by showing names on a screen and asking people to remember them.
" The people in the experiment were shown some names and had to say if they were old or new. They used a scale to show how sure they were. They got to practice first, then they did the real test with more names.", The people were shown names and had to say if they were old or new. They used a scale to show how sure they were. They got to practice before the real test with more names., The study asked people to determine if names were old or new. They could indicate how confident they were with a scale and had practice before the actual test.
" The data of 38 college students was shared, but one person did not give enough information. All students used English from age 10 and participated in the experiment for their class. This is also relevant for Experiments 3, 4, and 5."," The data of 38 college students was shared, but one person didn't give enough information. All the students used English since they were 10 years old and were part of the class experiment. This information is also important for Experiments 3, 4, and 5."," The data from 38 college students was shared, but one person didn't share enough information. All the students used English since they were 10 years old and were part of a class experiment. This is important information for Experiments 3, 4, and 5."
" The results in Table 3 show that there is a difference in accuracy between familiar and unfamiliar items. People tend to have a conservative bias towards unfamiliar items and a slight liberal bias towards familiar names. These biases affect false alarm rates, but there was no significant Mirror Effect observed when comparing false alarms for familiar and unfamiliar items."," There is a difference in how accurate people are when identifying familiar and unfamiliar things. They tend to be more cautious with unfamiliar things and more open with things they know. This affects how often they make mistakes, but there was no big difference in how often they thought something was there when it wasn't for familiar versus unfamiliar things."," People are better at recognizing things they know compared to things they don't know, and this can affect how often they make mistakes. However, there was no significant difference in their likelihood of thinking something was there when it wasn't, whether it was familiar or unfamiliar to them."
" The second row in Table 4 shows that the Mirror Effect exists because there is a significant difference between dnn and doo Distance Index (entries 1 and 2). This means that the distance between the two new distributions is negative, while the distance between the old distributions is positive. The Index confirms that the Mirror Effect is present, with FN < UN < UO < FO. The Distance Index is better at showing this pattern than the H/FA Index when there is differential bias."," The Mirror Effect exists because the distance between new distributions is negative, while the distance between old distributions is positive. The Distance Index confirms this pattern with FN < UN < UO < FO. This pattern is better shown by Distance Index than H/FA Index when there is differential bias.", The Mirror Effect happens because the new distributions are closer to each other than the old distributions. This pattern can be shown better with the Distance Index instead of the H/FA Index when there is a difference in bias.
" The second row of Table 5 shows how often each person displayed the three regularities, and they were found to be significant by a binomial test. These results support the findings in Table 4. The number of participants used to calculate ratios varied because two people didn't provide enough data. The same problem occurred in later experiments."," The second row in Table 5 shows how often people followed three patterns, which were proven to be significant. These results support Table 4. Some participants didn't provide enough data, which affected the number used to calculate ratios. The same issue happened in future experiments."," The second row of Table 5 confirms Table 4 by showing how often people followed three significant patterns. However, the number used to calculate ratios was affected by missing data from some participants, which happened again in later experiments."
" The study found that people have patterns in how familiar they are with names. Also, the conventional H/FA Index doesn't work when there's a difference in bias, so the Distance Index is suggested instead. The authors offer more information on how to handle this bias in their use of the H/FA Index."," A new study shows that people have different levels of familiarity with names, and a different method called the Distance Index may be needed to account for biases. The authors provide further guidance on how to use this method properly."," A recent study found that some people know names better than others. To make sure we're not biased, we need to use a different measuring tool called the Distance Index. The authors give us tips on how to use this tool correctly."
" The Mirror Effect might not be seen in experiments because of biases. In one experiment, people were less likely to say ""yes"" to names they didn't know, making it hard to see the Mirror Effect. But the experimenters found a way to cancel out this bias and see the effect better. They did this by giving people different rewards for saying ""yes"" and ""no"". If we don't take biases into account, we might not see the Mirror Effect even if it exists. We might also consider that the effect might not exist with the materials we use in some experiments."," biases might prevent us from seeing the Mirror Effect in experiments, but we can cancel out these biases by using different rewards for saying ""yes"" and ""no"". It's also possible that the effect might not show up in certain experiments with different materials."," The Mirror Effect may not be seen in experiments due to biases, but we can eliminate these biases by using different rewards for answering ""yes"" and ""no."" It's also possible that the effect may not show up in certain experiments depending on the materials used."
" We will do another test to make sure we understand the results. We will use a feedback system and pay people to participate to make sure we aren't wrong. If we see the Mirror Effect again, we know our first interpretation was right, even if we take into account other factors."," We will test again and pay people to participate to make sure we are right. If we see the same thing happen again, we know we were right the first time.", We will test again and pay people to double-check if we were correct the first time.
" The second test was the same as the first, but they told the participants that identifying old names as ""old"" would give them points and identifying them as ""new"" would lose points. The total score was given at the end."," The second test was like the first, but they said calling old names ""old"" gets points and calling them ""new"" loses points. They added up the points at the end.", The second test had a rule that using old names gave you points and using new names lost you points. They counted the points at the end.
" The picture in Figure 6 shows some patterns in how the group did. One is that when F did the task, they did it faster than U. Another is that the chart for old/old is different than new/new, with old/old being higher up. Lastly, the slopes for both charts are less than 1.0."," The picture in Figure 6 shows that F completed the task faster than U. Also, the old/old chart is higher than the new/new chart. Both charts have slopes less than 1.0."," The picture shows that F was faster than U, and the older chart was higher than the newer one. Both charts had slopes of less than 1.0."
" The dF and dU measures were different, but cF and cU measures were the same. The H/FA data showed a significant mirror pattern, which supports the introduction argument. The Mirror Effect was hidden due to bias in Experiment 2, but removing the bias revealed the effect through the H/FA index."," The dF and dU measures were not the same, but cF and cU measures were. The H/FA data showed a mirror pattern, which supports the argument. In Experiment 2, the Mirror Effect was hidden because of bias, but removing the bias revealed the effect through H/FA index."," The measurements for dF and dU were different, but not for cF and cU. The H/FA data showed a pattern that supported the argument. In Experiment 2, bias obscured the Mirror Effect, but taking away the bias revealed the effect through the H/FA index."
" Table 4 shows some measurements using the z-ROC. There are two means measured for the Distance Mirror Index, dnn and doo. dnn is negative and doo is positive, both significantly different from zero. The Variance Effect is measured by two slopes, new/new and old/old z-ROCs, which are both significantly less than 1. The mean values for dnn and doo are 0.75 and 0.76 respectively."," The Table 4 shows some measurements using the z-ROC. There are two means measured for the Distance Mirror Index, dnn and doo. Dnn is negative, and Doo is positive, both different from zero. The Variance Effect is measured by two slopes, new/new and old/old z-ROCs, which are both less than 1. The mean values for dnn and doo are 0.75 and 0.76."," The Table 4 has measurements for Distance Mirror Index using the z-ROC. There are two means, dnn and doo, with different values from zero. The Variance Effect is measured by two slopes, which are both less than 1. The mean values for dnn and doo are 0.75 and 0.76."
" The statistical test shows that the standard zROCs for F = 2.75 and U = 3.60 have different lengths, which confirms the validity of the z-ROC Length Effect."," The statistical test found that the length of the standard zROCs for F = 2.75 and U = 3.60 differ, proving the z-ROC Length Effect is real."," The test showed that there is a difference in the length of zROCs for certain numbers, which proves the z-ROC Length Effect is real."
" The third row in Table 5 displays the proportions of people showing the three regularities, and a binomial test confirms that all regularities are significant. These findings match with the statistical analyses in Table 4."," The third row in Table 5 shows how many people follow each regularity, and a test confirms that all regularities are important. This matches the data in Table 4."," The third row of Table 5 summarizes how many people follow each rule, and a test shows that all rules are necessary. This aligns with the information in Table 4."
" The first three experiments showed the same patterns, but in Experiment 2 there was a difference in the way bias was measured which removed the Mirror Effect. Experiment 3 solved this issue by introducing a pay-off system and the Mirror Effect returned. Another solution could be to use a different method of testing, such as separating the conditions into different study-test sequences."," The first three experiments showed the same results, but Experiment 2 used a different way to measure bias which made the Mirror Effect disappear. Experiment 3 added a reward system and the Mirror Effect came back. Another solution is to test the conditions in separate study-test sequences."," There were three experiments. The first two had the same results, but the third one used a reward system and the results were different. They can also try testing things in different sequences."
" Hoshino did some experiments with Japanese kanji to see if having separate test lists would affect bias. In the first two experiments, he didn't see the result he was expecting. But in a third experiment with two separate groups, he found that bias was affecting the results of the H/FA Index."," Hoshino experimented with Japanese kanji to test if having separate test lists would affect bias. The first two experiments didn't show expected results, but the third experiment with two groups did show bias affecting the H/FA Index results."," Hoshino tested whether separate test lists would affect bias in Japanese kanji. The third experiment with two groups showed bias affecting the H/FA Index results, while the first two experiments did not show expected results."
" The picture in Figure 7 shows three patterns in a group called z-ROCs. The first pattern, called standard z-ROC, is longer for some tasks than others and has different levels of accuracy. The other two patterns, called old/old z-ROC and new/new z-ROC, have different levels of accuracy and are positioned in opposite directions. Both patterns have lower levels of accuracy for longer tasks.", The picture shows three patterns called z-ROCs. The standard z-ROC is longer and has different levels of accuracy. The old/old and new/new z-ROCs are positioned in opposite directions and have lower accuracy for longer tasks.," The picture has three z-ROCs. The longer one is called the standard z-ROC and is more accurate than the shorter ones, called old/old and new/new z-ROCs. They point in opposite directions and have lower accuracy for longer tasks."
" The first two data sets in Row 4 of Table 3 show different accuracy means, but the bias indices in the next set are not significantly different. In the mixed-list experiment, there was a bias difference that went away in the between-list experiment. The H/FA Index showed a Mirror Effect when the bias disappeared."," The first two sets of data have different accuracy, but the next set shows no significant bias difference. Bias disparity was seen in the mixed-list study, but disappeared in the between-list one. The H/FA Index had a Mirror Effect when the bias vanished."," The first two sets of data were not equally accurate, but the third set didn't show any notable differences in bias. There was a difference in bias in the mixed-list study, but it disappeared in the between-list study. The H/FA Index showed a Mirror Effect when the bias disappeared."
" The fourth row of Table 4 shows different measures. The first two values show a mirror effect, meaning that there is a difference between how fast people recognize new versus old information. The next two values show a variance effect, indicating that people are less accurate when distinguishing between similar stimuli. The last two values show a length difference and affect people's ability to distinguish between stimuli based on their length.", The fourth row of Table 4 has different measurements. The first two numbers show that people recognize new and old information at different speeds. The next two numbers show that people have a hard time telling apart similar things. The last two numbers show that the length of things affects how well people can distinguish between them.," The fourth row in Table 4 has different measurements that show people recognize new and old information differently, have a hard time telling similar things apart, and are affected by the length of things when distinguishing between them."
" The fourth row in Table 5 shows how many people noticed each of the three patterns, and a test confirms that the results are significant. This information goes along with the stats in Table 4."," The fourth row in Table 5 indicates the number of people who noticed the different patterns in Table 4, and a test proves that the outcomes are significant."," The fourth line in Table 5 shows how many people saw the changes in Table 4, and a test proves the results are important."
" The problem of bias in Experiment 2 can be fixed by making familiar names more accurate than unfamiliar ones. To do this, we will use fewer familiar names in the study and test lists. Studies have shown that this can improve recognition accuracy for those items.", The bias problem in Experiment 2 can be solved by using fewer familiar names in the study and testing lists. This can make familiar names more accurate whereas unfamiliar names may not be recognized as well. Studies have proved this.," The issue with Experiment 2 bias can be fixed by using fewer well-known names. This helps make sure recognizable names are identified correctly, but unfamiliar ones may not be as accurately recognized. Studies show this works."
" The setup for Experiment 5 was similar to Experiment 2, but with fewer familiar names. The study lists had 30 familiar and 60 unfamiliar names, while the test lists included different categories of items. Everything else was the same as Experiment 2."," The way Experiment 5 was done was like Experiment 2, but with less known names. The study had 30 known and 60 unknown names on the lists, and the test lists had different types of things. Everything else was the same as Experiment 2."," Experiment 5 was similar to Experiment 2, but with fewer well-known names. There were 30 known names and 60 unknown names on the lists, and the test lists had different items. The rest of the experiment was the same as Experiment 2."
" The z-ROCs group shown in Figure 8 has three regularities - Length Effect, Mirror Effect, and Variance Effect. The standard z-ROC in Figure 8A has dF=2.18 and dU=0.83, with F=1.78 and U=3.55. The old/old z-ROC lies above the Main Diagonal with doo=1.61 and the new/new z-ROC lies below the main diagonal with dnn=-1.12. Both z-ROC slopes are less than 1.0 - 0.41 and 0.55 respectively."," The z-ROCs group in Figure 8 has three patterns. They are the Length Effect, Mirror Effect, and Variance Effect. The standard z-ROC in Figure 8A shows a dF of 2.18 and dU of 0.83. Its F is 1.78 and its U is 3.55. The old/old z-ROC is higher than the Main Diagonal, with doo of 1.61. Meanwhile, the new/new z-ROC is lower than the main diagonal, with dnn of -1.12. Both z-ROC slopes are less than 1.0, with 0.41 and 0.55 respectively."," The z-ROCs group in Figure 8 has three patterns called Length Effect, Mirror Effect, and Variance Effect. The standard z-ROC in Figure 8A has a dF of 2.18 and dU of 0.83, corresponding to an F of 1.78 and a U of 3.55. The old/old z-ROC is higher than the main diagonal with doo of 1.61, while the new/new z-ROC is lower than the main diagonal with dnn of -1.12. Both z-ROC slopes are less than 1.0, with 0.41 and 0.55, respectively."
" Row 5 of Table 4 shows how regularity varies. The first two numbers suggest there's a Mirror Effect - dnn is less than zero and doo is more than zero. The next two numbers suggest there's a Variance Effect, as both values are less than 1.0. There's also a significant difference between F and U length, which is backed up by the z-ROC Length Effect."," Row 5 of Table 4 shows differences in regularity. The first two numbers suggest a Mirror Effect, with one number being negative and the other positive. The next two numbers suggest a Variance Effect, with both being less than 1.0. The length of F and U letters also show a significant difference, which is confirmed by the z-ROC Length Effect."," Row 5 of Table 4 has differences in regularity. Some numbers suggest the Mirror Effect, while others suggest the Variance Effect. The length of the F and U letters are different, and this is confirmed by the z-ROC Length Effect."
" The experiment found that when there were fewer familiar names, people were more accurate at recognizing items, but they also became more likely to say they recognized something even if they didn't. This might be because familiar names stand out and make people more likely to guess."," The experiment showed that when people saw fewer names they were better at recognizing things, but they were more likely to guess if they weren't sure. It could be because familiar names catch the eye and make people more likely to take a chance."," When people see fewer names, they are better at recognizing things, but they may guess if they're not sure because familiar names catch their eye."
 The authors explain that SDT has three basic parts that can explain three patterns. SDT also works when the patterns aren't predictable. Models of recognition memory that use SDT and LR work on different levels of theory.," SDT has three parts that explain three patterns, even when they aren't predictable. SDT and LR models of recognition memory work on different levels of theory."," The theory of SDT has three parts that explain different patterns, but they may not be predictable. It is different from the LR model of recognition memory because they work on different levels of theory."
" The way we make decisions in simple memory experiments can be explained by strength-based processing. But in more complex experiments with two conditions, we need to add LR conversion to understand the results."," The way we make decisions in simple experiments is based on strength, but for more complex ones with two conditions, we also need to consider LR conversion."," When making simple decisions, we use strength to guide us. But for more complex decisions with two choices, we also need to take into account the likelihood of conversion."
" Two theories, Criterion Shift and Two-Process, have been proposed to explain The Mirror Effect. They both have different assumptions to support strong decisions."," There are two theories, Criterion Shift and Two-Process, that explain The Mirror Effect. They have different reasons to support their conclusions."," There are two theories that explain The Mirror Effect, the Criterion Shift and Two-Process theories. They each have their own reasons for their conclusions."
